"Species name","IUCN","FUSE","EDGE2"
"Discopyge_castelloi","2","1","1"
"Discopyge_tschudii","1","1","1"
"Echinorhinus_brucus","5","2","1"
"Echinorhinus_cookei","2","1","1"
"Electrolux_addisoni","1","1","1"
"Eridacnis_barbouri","1","1","1"
"Eridacnis_radcliffei","1","1","1"
"Eridacnis_sinuans","2","1","1"
"Etmopterus_bigelowi","1","1","1"
"Etmopterus_brachyurus","1","1","1"
"Etmopterus_bullisi","1","1","1"
"Etmopterus_burgessi","1","1","1"
"Etmopterus_carteri","1","1","1"
"Etmopterus_caudistigmus","1","1","1"
"Etmopterus_compagnoi","2","1","1"
"Etmopterus_decacuspidatus","1","1","1"
"Etmopterus_dianthus","1","1","1"
"Etmopterus_dislineatus","3","1","1"
"Etmopterus_evansi","1","1","1"
"Etmopterus_fusus","4","1","1"
"Etmopterus_gracilispinis","1","1","1"
"Etmopterus_hillianus","1","1","1"
"Etmopterus_pusillus","1","1","1"
"Etmopterus_litvinovi","1","1","1"
"Etmopterus_lucifer","1","1","1"
"Etmopterus_molleri","1","1","1"
"Etmopterus_perryi","1","1","1"
"Etmopterus_polli","1","1","1"
"Etmopterus_princeps","1","1","1"
"Etmopterus_pseudosqualiolus","1","1","1"
"Etmopterus_pycnolepis","1","1","1"
"Etmopterus_robinsi","1","1","1"
"Etmopterus_schultzi","1","1","1"
"Etmopterus_sculptus","1","1","1"
"Etmopterus_sentosus","1","1","1"
"Etmopterus_spinax","1","1","1"
"Etmopterus_splendidus","1","1","1"
"Etmopterus_unicolor","1","1","1"
"Etmopterus_viator","1","1","1"
"Etmopterus_villosus","1","1","1"
"Etmopterus_virens","1","1","1"
"Eucrossorhinus_dasypogon","1","1","1"
"Euprotomicroides_zantedeschia","1","1","1"
"Euprotomicrus_bispinatus","1","1","1"
"Eusphyra_blochii","1","1","1"
"Fenestraja_atripinna","1","1","1"
"Fenestraja_cubensis","1","1","1"
"Fenestraja_ishiyamai","1","1","1"
"Fenestraja_maceachrani","1","1","1"
"Fenestraja_mamillidens","1","1","1"
"Fenestraja_plutonia","1","1","1"
"Fenestraja_sinusmexicanus","1","1","1"
"Figaro_boardmani","3","1","1"
"Figaro_striatus","1","1","1"
"Himantura_kittipongi","1","1","1"
"Himantura_oxyrhyncha","1","1","1"
"Himantura_signifer","1","1","1"
"Dasyatis_colarensis","1","1","1"
"Dasyatis_geijskesi","1","1","1"
"Dasyatis_margarita","1","1","1"
"Dasyatis_margaritella","1","1","1"
"Furgaleus_macki","4","2","2"
"Galeocerdo_cuvier","1","1","1"
"Galeorhinus_galeus","1","1","1"
"Galeus_antillensis","1","1","1"
"Galeus_arae","1","1","1"
"Galeus_atlanticus","1","1","1"
"Galeus_eastmani","1","1","1"
"Galeus_gracilis","1","1","1"
"Galeus_longirostris","1","1","1"
"Galeus_melastomus","1","1","1"
"Galeus_mincaronei","1","1","1"
"Galeus_murinus","2","1","1"
"Galeus_nipponensis","5","2","3"
"Galeus_piperatus","1","1","1"
"Galeus_polli","1","1","1"
"Galeus_priapus","2","1","1"
"Galeus_sauteri","1","1","1"
"Galeus_schultzi","1","1","1"
"Galeus_springeri","1","1","1"
"Ginglymostoma_cirratum","1","1","1"
"Glaucostegus_cemiculus","3","1","1"
"Glaucostegus_granulatus","1","1","1"
"Glaucostegus_halavi","1","1","1"
"Glaucostegus_obtusus","1","1","1"
"Glaucostegus_thouin","3","1","1"
"Glaucostegus_typus","1","1","1"
"Glyphis_gangeticus","1","1","1"
"Glyphis_garricki","1","1","1"
"Glyphis_glyphis","1","1","1"
"Gollum_attenuatus","3","1","1"
"Gurgesiella_atlantica","5","2","5"
"Gurgesiella_dorsalifera","5","2","5"
"Gurgesiella_furvescens","5","2","5"
"Gymnura_altavela","5","2","5"
"Gymnura_australis","5","2","5"
"Gymnura_crebripunctata","5","3","5"
"Gymnura_japonica","5","5","2"
"Gymnura_marmorata","3","1","1"
"Gymnura_micrura","3","1","1"
"Gymnura_natalensis","1","1","1"
"Gymnura_poecilura","1","1","1"
"Gymnura_tentaculata","3","1","1"
"Gymnura_zonura","1","1","1"
"Halaelurus_boesemani","4","2","1"
"Halaelurus_buergeri","1","1","1"
"Halaelurus_lineatus","2","1","1"
"Halaelurus_maculosus","3","1","1"
"Halaelurus_natalensis","2","1","1"
"Halaelurus_quagga","2","1","1"
"Halaelurus_sellus","1","1","1"
"Haploblepharus_edwardsii","3","1","1"
"Haploblepharus_fuscus","5","1","1"
"Haploblepharus_kistnasamyi","4","1","2"
"Haploblepharus_pictus","3","1","1"
"Hemigaleus_australiensis","4","1","1"
"Hemigaleus_microstoma","1","1","1"
"Hemipristis_elongata","2","1","1"
"Hemiscyllium_freycineti","3","1","1"
"Hemiscyllium_galei","1","1","1"
"Hemiscyllium_hallstromi","1","1","1"
"Hemiscyllium_michaeli","4","1","1"
"Hemiscyllium_ocellatum","3","1","1"
"Hemiscyllium_strahani","3","1","1"
"Hemiscyllium_trispeculare","1","1","1"
"Hemitriakis_abdita","1","1","1"
"Hemitriakis_complicofasciata","3","1","1"
"Hemitriakis_falcata","3","1","1"
"Hemitriakis_japanica","2","1","1"
"Hemitriakis_leucoperiptera","3","1","1"
"Dasyatis_akajei","3","1","1"
"Dasyatis_bennettii","3","1","1"
"Dasyatis_fluviorum","1","1","1"
"Dasyatis_izuensis","3","1","1"
"Dasyatis_laevigata","1","1","1"
"Dasyatis_laosensis","1","1","1"
"Dasyatis_navarrae","3","1","1"
"Dasyatis_parvonigra","1","1","1"
"Dasyatis_sinensis","4","1","1"
"Heptranchias_perlo","5","1","1"
"Heterodontus_francisci","2","1","1"
"Heterodontus_galeatus","1","1","1"
"Heterodontus_japonicus","1","1","1"
"Heterodontus_mexicanus","1","1","1"
"Heterodontus_omanensis","1","1","1"
"Heterodontus_portusjacksoni","1","1","1"
"Heterodontus_quoyi","1","1","1"
"Heterodontus_ramalheira","1","1","1"
"Heterodontus_zebra","1","1","1"
"Heteronarce_bentuviai","1","1","1"
"Heteronarce_garmani","3","1","1"
"Heteronarce_mollis","2","1","1"
"Heteronarce_prabhui","3","1","1"
"Heteroscymnoides_marleyi","1","1","1"
"Hexanchus_griseus","1","1","1"
